56750	1	a	treats us 
29587	1	a	to look at or understand 
22526	1	a	is extraordinary 
7750	0	a	by on humor that is not even as daring as john ritter 's glory days on three 's company 
5064	0	a	overladen with plot conceits 
14776	1	a	eating , sleeping and stress-reducing 
52126	1	a	that there 's a casual intelligence that permeates the script 
9176	0	a	fans of sandler 's comic taste may find it uninteresting 
24165	1	a	a compelling motion 
62168	0	a	broomfield 's style of journalism is hardly journalism at all , 
30561	1	a	mr. wollter and ms. seldhal give strong and convincing performances , but 
37418	1	a	an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life . 
34070	0	a	once again ego does n't always go hand in hand with talent 
39001	0	a	hate yourself for giving in 
21442	1	a	gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements 
28867	0	a	immediately succumbs to gravity and plummets to earth . 
19958	1	a	this was lazy but enjoyable 
54369	0	a	a pale successor 
36206	1	a	but though he only scratches the surface , at least he provides a strong itch to explore more . 
9276	1	a	are sometimes bracing 
26156	0	a	it 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex . 
1134	1	a	has a caffeinated , sloppy brilliance , sparkling with ideas you wish had been developed with more care , but 
7613	1	a	illustrating the merits of fighting hard for something that really matters 
26029	1	a	is a sobering meditation on why we take pictures . 
53863	1	a	is not show-stoppingly hilarious , but scathingly witty nonetheless . 
31077	1	a	excited that it has n't gone straight to video 
55256	1	a	the year 2002 has conjured up more coming-of-age stories than seem possible , but take care of my cat emerges as the very best of them 
10936	1	a	unpredictable comedy 
64472	0	a	so sloppy , 
54324	1	a	fun and nimble . 
42821	1	a	provides a strong itch to explore more 
32963	1	a	a worthwhile glimpse 
27135	0	a	this dreadfully earnest inversion of the concubine love triangle eschews the previous film 's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension . 
30886	0	a	the criticism never rises above easy , cynical potshots at morally bankrupt characters ... 
39859	1	a	does mark ms. bullock 's best work in some time 
43334	1	a	this clever and very satisfying picture is more accurately chabrolian . 
64237	1	a	proves absolutely that really , really , really good things can come in enormous packages . 
29250	1	a	adventure and song 
46829	0	a	to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit . 
4015	1	a	the joy the characters take in this creed 
37713	0	a	soap opera 
49476	0	a	the characters are so generic and the plot so bland that even as rogue cia assassins working for chris cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for damon/bourne or his predicament 
20522	1	a	's a great performance and a reminder of dickens ' grandeur 
45781	1	a	happens to be the movie 's most admirable quality 
45931	1	a	believe it 
17266	1	a	staring 
54214	0	a	out-bad-act the other 
64487	0	a	dreary mess 
1258	1	a	as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels , but stylish and moody and 
18702	0	a	to waste their time 
7166	1	a	successes 
31766	0	a	find an escape clause and avoid seeing this trite , predictable rehash 
66665	0	a	shaking your head all the way to the credits 
40923	0	a	so insanely stupid 
35008	1	a	is fontaine 's willingness to wander into the dark areas of parent-child relationships without flinching 
32460	0	a	it 's the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name . 
39705	0	a	the last time i saw worse stunt editing or cheaper action movie production values than in extreme ops 
35351	0	a	its and pieces of the hot chick are so hilarious , and schneider 's performance is so fine , it 's a real shame that so much of the movie -- again , as in the animal -- is a slapdash mess . 
9642	0	a	a disaster of a story , full of holes and completely lacking in chills 
27881	1	a	a clear-eyed portrait of an intensely lived time , filled with nervous energy , moral ambiguity and great uncertainties 
9350	0	a	to make of this italian freakshow 
6897	1	a	richly detailed , deftly executed and 
45788	0	a	many bona fide groaners 
49725	1	a	positive 
31625	0	a	dull 
57724	0	a	tumbleweeds 
35933	1	a	, involving aragorn 's dreams of arwen , this is even better than the fellowship . 
15802	1	a	celebrate 
15533	1	a	a number of other assets to commend it to movie audiences both innocent and jaded 
19443	0	a	a high-minded snoozer . 
37135	0	a	child abuse 
39121	1	a	there 's no conversion effort , much of the writing is genuinely witty and 
17856	1	a	they will have a showdown 
10203	0	a	attack 
24430	0	a	despite all the closed-door hanky-panky , the film is essentially juiceless . 
26655	0	a	the problematic script 
20175	0	a	as unusually and unimpressively fussy 
19964	0	a	that seem to have been conjured up only 10 minutes prior to filming 
237	0	a	seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little 
30005	1	a	retaining an integrity 
883	1	a	make a pretty good team 
64184	1	a	leigh is one of the rare directors who feels acting is the heart and soul of cinema . 
775	0	a	this thing is virtually unwatchable . 
44925	1	a	scott delivers a terrific performance in this fascinating portrait of a modern lothario . 
56671	1	a	uses some of the figures from the real-life story to portray themselves in the film . 
13087	1	a	emotional conviction 
26231	0	a	doing unpleasant things to each other and themselves 
42624	1	a	miraculous 
2553	0	a	( clooney 's ) debut can be accused of being a bit undisciplined 
29326	1	a	entertaining ride 
43802	0	a	talk down to them 
23215	0	a	fear and paranoia 
55582	1	a	funny 
4270	0	a	anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels 
23509	1	a	cinema 's directorial giants 
3034	1	a	interesting story 
20584	1	a	vibrant with originality 
14844	1	a	benefits from serendipity but also reminds us of our own responsibility to question what is told as the truth 
18012	1	a	cultural 
10076	0	a	than an hour-and-a-half-long commercial for britney 's latest album 
51036	0	a	is the gabbiest giant-screen movie 
46203	1	a	kinky fun 
2876	0	a	they toss logic and science into what is essentially a `` dungeons and dragons '' fantasy with modern military weaponry ... 
49993	0	a	awfully hard to buy the impetus for the complicated love triangle that develops between the three central characters 
37451	0	a	's no place for this story to go but down 
45285	0	a	there are some fairly unsettling scenes 
52101	0	a	ever such a dependable concept was botched in execution 
35293	1	a	true love 
51559	1	a	never again is a welcome and heartwarming addition to the romantic comedy genre . 
35206	1	a	is a no-bull throwback to 1970s action films . 
65793	1	a	the timeless spectacle 
62526	1	a	is that there 's a casual intelligence that permeates the script . 
22402	1	a	is one of the year 's best . 
34045	0	a	it makes you forgive every fake , dishonest , entertaining and , ultimately , more perceptive moment in bridget jones 's diary 
4821	1	a	, elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry . 
9606	0	a	something awfully deadly about any movie with a life-affirming message 
40027	0	a	super - violent , super-serious and super-stupid 
4580	1	a	have a 90-minute , four-star movie 
61681	1	a	a funny yet dark and 
18366	1	a	makes it seem fresh again . 
18792	1	a	about something , one that attempts and often achieves a level of connection and concern 
65390	1	a	help increase an average student 's self-esteem 
47720	0	a	there 's a little violence and lots of sex in a bid to hold our attention , but it grows monotonous after a while , as do joan and philip 's repetitive arguments , schemes and treachery . 
21161	1	a	a testament to the divine calling of education and a demonstration of the painstaking 
32086	0	a	dimness 
17033	1	a	delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for 
29408	1	a	captivating drama 
7254	1	a	demonstrates a vivid imagination and an impressive style 
41254	0	a	a fan film that for the uninitiated plays better on video with the sound turned down . 
60017	1	a	ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending . 
22862	0	a	a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke 
18551	1	a	appetizing 
21766	1	a	and whirling fight sequences 
4913	0	a	put through torture for an hour and a half 
40064	1	a	the cleverest , most deceptively amusing comedies of the year 
13789	1	a	an irrepressible passion 
